iter	Passed	Remaining
678	29154	13782
679	29196	13739
680	29240	13696
681	29284	13654
682	29328	13612
683	29370	13568
684	29413	13525
685	29457	13483
686	29504	13442
687	29551	13401
688	29595	13358
689	29642	13317
690	29690	13276
691	29734	13234
692	29777	13191
693	29819	13148
694	29861	13104
695	29903	13061
696	29946	13018
697	29989	12975
698	30032	12932
699	30074	12889
700	30118	12846
701	30161	12803
702	30203	12760
703	30245	12716
704	30288	12673
705	30331	12631
706	30374	12588
707	30416	12544
708	30460	12501
709	30501	12458
710	30543	12415
711	30586	12371
712	30628	12328
713	30672	12286
714	30715	12243
715	30758	12200
716	30802	12157
717	30845	12114
718	30890	12072
719	30932	12029
720	30974	11986
721	31016	11942
722	31058	11899
723	31101	11856
724	31145	11813
725	31189	11771
726	31234	11729
727	31276	11685
728	31318	11642
729	31358	11598
730	31401	11555
731	31446	11513
732	31490	11470
733	31536	11428
734	31582	11386
735	31636	11348
736	31683	11306
737	31730	11264
738	31775	11222
739	31817	11179
740	31860	11136
741	31903	11093
742	31946	11050
743	31995	11009
744	32040	10966
745	32093	10927
746	32138	10884
747	32189	10844
748	32232	10801
749	32276	10758
750	32319	10715
751	32362	10672
752	32406	10629
753	32450	10587
754	32493	10544
755	32537	10501
756	32578	10457
757	32620	10414
758	32660	10370
759	32702	10327
760	32743	10283
761	32786	10240
762	32829	10197
763	32876	10155
764	32924	10114
765	32971	10072
766	33015	10029
767	33059	9986
768	33101	9943
769	33143	9899
770	33187	9857
771	33228	9813
772	33269	9769
773	33311	9726
774	33352	9683
775	33393	9639
776	33434	9595
777	33475	9552
778	33516	9508
779	33556	9464
780	33597	9421
781	33639	9377
782	33680	9334
783	33721	9290
784	33762	9247
785	33803	9203
786	33845	9160
787	33886	9116
788	33929	9073
789	33970	9030
790	34011	8986
791	34055	8943
792	34098	8900
793	34141	8857
794	34183	8814
795	34224	8771
796	34265	8727
797	34307	8684
798	34348	8640
799	34390	8597
800	34432	8554
801	34474	8511
802	34515	8467
803	34557	8424
804	34599	8381
805	34640	8337
806	34681	8294
807	34724	8251
808	34766	8208
809	34809	8165
810	34850	8121
811	34891	8078
812	34933	8035
813	34974	7991
814	35015	7948
815	35058	7905
816	35100	7862
817	35142	7818
818	35183	7775
819	35224	7732
820	35265	7688
821	35307	7645
822	35347	7602
823	35388	7558
824	35430	7515
825	35471	7472
826	35512	7428
827	35554	7385
828	35595	7342
829	35636	7299
830	35678	7255
831	35721	7212
832	35763	7169
833	35804	7126
834	35845	7083
835	35886	7039
836	35926	6996
837	35967	6953
838	36009	6910
839	36052	6867
840	36095	6824
841	36137	6781
842	36179	6738
843	36222	6695
844	36267	6652
845	36309	6609
846	36352	6566
847	36394	6523
848	36436	6480
849	36478	6437
850	36519	6394
851	36562	6351
852	36607	6308
853	36653	6266
854	36694	6223
855	36736	6179
856	36777	6136
857	36819	6093
858	36861	6050
859	36903	6007
860	36944	5964
861	36983	5920
862	37024	5877
863	37067	5834
864	37112	5792
865	37154	5749
866	37198	5706
867	37242	5663
868	37285	5620
869	37329	5577
870	37372	5535
871	37419	5492
872	37465	5450
873	37509	5407
874	37552	5364
875	37597	5322
876	37643	5279
877	37690	5237
878	37736	5194
879	37780	5151
880	37825	5109
881	37871	5066
882	37915	5023
883	37960	4981
884	38004	4938
885	38049	4895
886	38094	4853
887	38138	4810
888	38182	4767
889	38224	4724
890	38266	4681
891	38309	4638
892	38352	4595
893	38395	4552
894	38439	4509
895	38483	4466
896	38532	4424
897	38578	4381
898	38621	4338
899	38664	4296
900	38709	4253
901	38753	4210
902	38795	4167
903	38838	4124
904	38881	4081
905	38924	4038
906	38965	3995
907	39007	3952
908	39047	3909
909	39089	3865
910	39130	3822
911	39172	3779
912	39216	3736
913	39260	3694
914	39303	3651
915	39345	3608
916	39387	3565
917	39428	3521
918	39470	3478
919	39511	3435
920	39552	3392
921	39593	3349
922	39635	3306
923	39677	3263
924	39721	3220
925	39763	3177
926	39806	3134
927	39848	3091
928	39892	3048
929	39935	3005
930	39977	2962
931	40020	2919
932	40062	2876
933	40103	2833
934	40145	2790
935	40187	2747
936	40228	2704
937	40270	2661
938	40311	2618
939	40351	2575
940	40393	2532
941	40433	2489
942	40477	2446
943	40518	2403
944	40560	2360
945	40600	2317
946	40641	2274
947	40682	2231
948	40723	2188
949	40765	2145
950	40806	2102
951	40848	2059
952	40889	2016
953	40931	1973
954	40973	1930
955	41013	1887
956	41054	1844
957	41095	1801
958	41136	1758
959	41176	1715
960	41218	1672
961	41259	1629
962	41302	1586
963	41345	1544
964	41386	1501
965	41427	1458
966	41468	1415
967	41509	1372
968	41549	1329
969	41591	1286
970	41632	1243
971	41674	1200
972	41716	1157
973	41758	1114
974	41799	1071
975	41839	1028
976	41882	985
977	41925	943
978	41966	900
979	42007	857
980	42050	814
981	42092	771
982	42135	728
983	42178	685
984	42224	643
985	42271	600
986	42315	557
987	42360	514
988	42404	471
989	42448	428
990	42491	385
991	42531	342
992	42572	300
993	42613	257
994	42654	214
995	42696	171
996	42737	128
997	42779	85
998	42820	42
999	42861	0
